product_id,image_path,filename,category
15025,images/15025.jpg,15025.jpg,Caps
17888,images/17888.jpg,17888.jpg,Innerwear Vests
28989,images/28989.jpg,28989.jpg,Kurta Sets
55427,images/55427.jpg,55427.jpg,Lipstick
58214,images/58214.jpg,58214.jpg,Patiala
38735,images/38735.jpg,38735.jpg,Messenger Bag
12538,images/12538.jpg,12538.jpg,Track Pants
37306,images/37306.jpg,37306.jpg,Watches
51589,images/51589.jpg,51589.jpg,Jeggings
52493,images/52493.jpg,52493.jpg,Camisoles
16222,images/16222.jpg,16222.jpg,Track Pants
25770,images/25770.jpg,25770.jpg,Suspenders
31895,images/31895.jpg,31895.jpg,Stoles
56261,images/56261.jpg,56261.jpg,Night suits
57323,images/57323.jpg,57323.jpg,Bra
19272,images/19272.jpg,19272.jpg,Watches
25888,images/25888.jpg,25888.jpg,Backpacks
20580,images/20580.jpg,20580.jpg,Mobile Pouch
58261,images/58261.jpg,58261.jpg,Clutches
56088,images/56088.jpg,56088.jpg,Lip Gloss
32685,images/32685.jpg,32685.jpg,Clutches
40063,images/40063.jpg,40063.jpg,Caps
53348,images/53348.jpg,53348.jpg,Boxers
40194,images/40194.jpg,40194.jpg,Kurtis
43634,images/43634.jpg,43634.jpg,Dresses
53128,images/53128.jpg,53128.jpg,Heels
52299,images/52299.jpg,52299.jpg,Boxers
38963,images/38963.jpg,38963.jpg,Rucksacks
48563,images/48563.jpg,48563.jpg,Bracelet
49026,images/49026.jpg,49026.jpg,Ring
55956,images/55956.jpg,55956.jpg,Mascara
57217,images/57217.jpg,57217.jpg,Capris
25078,images/25078.jpg,25078.jpg,Accessory Gift Set
48581,images/48581.jpg,48581.jpg,Bracelet
3473,images/3473.jpg,3473.jpg,Water Bottle
57811,images/57811.jpg,57811.jpg,Jumpsuit
34942,images/34942.jpg,34942.jpg,Dupatta
52316,images/52316.jpg,52316.jpg,Bangle
25786,images/25786.jpg,25786.jpg,Suspenders
13670,images/13670.jpg,13670.jpg,Footballs
45642,images/45642.jpg,45642.jpg,Briefs
1621,images/1621.jpg,1621.jpg,Shorts
37583,images/37583.jpg,37583.jpg,Rompers
2118,images/2118.jpg,2118.jpg,Track Pants
48343,images/48343.jpg,48343.jpg,Necklace and Chains
55321,images/55321.jpg,55321.jpg,Face Moisturisers
44007,images/44007.jpg,44007.jpg,Deodorant
4494,images/4494.jpg,4494.jpg,Sports Shoes
8227,images/8227.jpg,8227.jpg,Messenger Bag
41814,images/41814.jpg,41814.jpg,Bra
34598,images/34598.jpg,34598.jpg,Dresses
46668,images/46668.jpg,46668.jpg,Deodorant
22657,images/22657.jpg,22657.jpg,Duffel Bag
34197,images/34197.jpg,34197.jpg,Tshirts
51951,images/51951.jpg,51951.jpg,Clutches
56529,images/56529.jpg,56529.jpg,Lipstick
49021,images/49021.jpg,49021.jpg,Ring
50906,images/50906.jpg,50906.jpg,Sarees
47065,images/47065.jpg,47065.jpg,Patiala
46208,images/46208.jpg,46208.jpg,Bangle
12537,images/12537.jpg,12537.jpg,Track Pants
23541,images/23541.jpg,23541.jpg,Fragrance Gift Set
18770,images/18770.jpg,18770.jpg,Ties
15877,images/15877.jpg,15877.jpg,Flip Flops
57747,images/57747.jpg,57747.jpg,Foundation and Primer
7101,images/7101.jpg,7101.jpg,Duffel Bag
13624,images/13624.jpg,13624.jpg,Lounge Shorts
28222,images/28222.jpg,28222.jpg,Deodorant
28786,images/28786.jpg,28786.jpg,Shirts
52472,images/52472.jpg,52472.jpg,Bath Robe
57609,images/57609.jpg,57609.jpg,Sunscreen
37524,images/37524.jpg,37524.jpg,Rompers
46203,images/46203.jpg,46203.jpg,Bangle
27321,images/27321.jpg,27321.jpg,Perfume and Body Mist
10655,images/10655.jpg,10655.jpg,Skirts
40122,images/40122.jpg,40122.jpg,Headband
20556,images/20556.jpg,20556.jpg,Mobile Pouch
10056,images/10056.jpg,10056.jpg,Tracksuits
34820,images/34820.jpg,34820.jpg,Sports Sandals
58892,images/58892.jpg,58892.jpg,Ties
34464,images/34464.jpg,34464.jpg,Travel Accessory
55246,images/55246.jpg,55246.jpg,Foundation and Primer
17630,images/17630.jpg,17630.jpg,Messenger Bag
52168,images/52168.jpg,52168.jpg,Ring
17882,images/17882.jpg,17882.jpg,Innerwear Vests
16219,images/16219.jpg,16219.jpg,Sweaters
56140,images/56140.jpg,56140.jpg,Eyeshadow
58158,images/58158.jpg,58158.jpg,Shrug
25597,images/25597.jpg,25597.jpg,Kurta Sets
30900,images/30900.jpg,30900.jpg,Salwar
55016,images/55016.jpg,55016.jpg,Lip Gloss
50675,images/50675.jpg,50675.jpg,Trunk
6130,images/6130.jpg,6130.jpg,Sandals
56615,images/56615.jpg,56615.jpg,Highlighter and Blush
47454,images/47454.jpg,47454.jpg,Flats
40155,images/40155.jpg,40155.jpg,Shorts
48758,images/48758.jpg,48758.jpg,Jewellery Set
14158,images/14158.jpg,14158.jpg,Cufflinks
55234,images/55234.jpg,55234.jpg,Foundation and Primer
34799,images/34799.jpg,34799.jpg,Belts
34550,images/34550.jpg,34550.jpg,Handbags
50294,images/50294.jpg,50294.jpg,Ties
55585,images/55585.jpg,55585.jpg,Highlighter and Blush
18573,images/18573.jpg,18573.jpg,Sweaters
57729,images/57729.jpg,57729.jpg,Lip Care
27493,images/27493.jpg,27493.jpg,Briefs
2357,images/2357.jpg,2357.jpg,Water Bottle
46895,images/46895.jpg,46895.jpg,Jeans
53329,images/53329.jpg,53329.jpg,Boxers
40110,images/40110.jpg,40110.jpg,Tracksuits
48862,images/48862.jpg,48862.jpg,Pendant
12447,images/12447.jpg,12447.jpg,Shoe Accessories
57812,images/57812.jpg,57812.jpg,Jumpsuit
26181,images/26181.jpg,26181.jpg,Flats
1626,images/1626.jpg,1626.jpg,Footballs
