query_filename,relevant_product_ids,variation
query_001.jpg,1,different_angle
query_002.jpg,2,different_crop
query_003.jpg,3|26,changed_lighting
query_004.jpg,4,changed_background
query_005.jpg,5,partially_covered
query_006.jpg,6,phone_camera
query_007.jpg,7,different_angle
query_008.jpg,8,different_crop
query_009.jpg,9,changed_lighting
query_010.jpg,10,changed_background
query_011.jpg,11,partially_covered
query_012.jpg,12,phone_camera
query_013.jpg,13,different_angle
query_014.jpg,14,different_crop
query_015.jpg,15,changed_lighting
query_016.jpg,16,changed_background
query_017.jpg,17,partially_covered
query_018.jpg,18,phone_camera
query_019.jpg,19,different_angle
query_020.jpg,20,different_crop
query_021.jpg,21,changed_lighting
query_022.jpg,22,changed_background
query_023.jpg,23,partially_covered
query_024.jpg,24,phone_camera
query_025.jpg,25,different_angle
